item,itemLabel,constituency,constituencyLabel,party,partyLabel
"",Sarah Paulata Korere,Q47463445,Laikipia North,Q27963537,Jubilee Party
"",Patrick Kariuki Mariru,Q6473834,Laikipia West,Q27963537,Jubilee Party
"",Marselino Malimo ARBALLE,Q6474135,Laisamis,Q27963537,Jubilee Party
"",Sharif Athman Ali,Q6482731,Lamu East,Q27963537,Jubilee Party
"",Stanley Muiruri Muthama,Q6482735,Lamu West,Q47489396,Maendeleo Chap Chap Party
"",Generali Nixon Kiprotich Korir,Q6485732,Langata,Q27963537,Jubilee Party
"",Jonah Mburu Mwangi,Q6489334,Lari,Q27963537,Jubilee Party
"",Mishi Juma Khamisi Mboko,Q6547331,Likoni,Q1640905,Orange Democratic Movement
"",Enoch Wamalwa Kibunguchy,Q47463458,Likuyani,Q5473121,Forum for Restoration of Democracy - Kenya
"",Peter Mungai Mwathi,Q10978796,Limuru,Q27963537,Jubilee Party
"",Jeremiah Ekamais Lomorukai,Q47463429,Loima,Q1640905,Orange Democratic Movement
"",Christopher Omulele,Q55621397,Luanda,Q1640905,Orange Democratic Movement
"",Ayub Savula Angatia,Q6699735,Lugari,Q47489380,Amani National Congress
"",Khatib Abdallah Mwashetani,Q47463406,Lunga Lunga,Q27963537,Jubilee Party
"",Titus Khamala Mukhwana,Q6704894,Lurambi,Q47489380,Amani National Congress
"",Japhet Miriti Kareke Mbiuki,Q47463416,Maara,Q27963537,Jubilee Party
"",Victor Kioko Munyaka,Q13123147,Machakos Town,Q27963537,Jubilee Party
"",Michael Thoyah Kingi,Q6729713,Magarini,Q1640905,Orange Democratic Movement
"",George Aladwa Omwera,Q6738586,Makadara,Q1640905,Orange Democratic Movement
"",Daniel Kitonga Maanzo,Q6740441,Makueni,Q5251223,Wiper Democratic Movement - Kenya
"",Moses Malulu Injendi,Q6741420,Malava,Q27963537,Jubilee Party
Q47494720,Aisha Jumwa Karisa Katana,Q6743727,Malindi,Q1640905,Orange Democratic Movement
"",Omar Mohamed Maalim Hassan,Q6747984,Mandera East,Q42954840,Economic Freedom Party
"",Bashir S. ABDULLAH,Q47463414,Mandera North,Q27963537,Jubilee Party
"",Adan Haji Ali,Q47462269,Mandera South,Q27963537,Jubilee Party
"",Adan Haji Yussuf,Q6747986,Mandera West,Q42954840,Economic Freedom Party
"",John Muchiri Nyaga,Q6753394,Manyatta,Q27963537,Jubilee Party
"",Mary Wamaua Waithira Njoroge,Q6754641,Maragwa,Q27963537,Jubilee Party
"",David Kangogo Bowen,Q6754698,Marakwet East,Q27963537,Jubilee Party
"",William Kipkemoi Kisang,Q6754691,Marakwet West,Q27963537,Jubilee Party
"",Joshua Mbithi Mwalyo,Q6783288,Masinga,Q5251223,Wiper Democratic Movement - Kenya
