item,itemLabel,constituency,constituencyLabel,party,partyLabel
Q7411903,Samwel Kazungu Kambi,Q13123143,Kaloleni,Q2559675,PNU
"",Samuel Gonzi Rai,Q6410376,Kinango,,FORD P
Q5679565,Hassan Ali Joho,Q13123145,Kisauni,Q1640905,ODM
Q4670109,Abu Mohamed Abuchiaba,Q6482731,Lamu East,Q2559675,PNU
Q5429550,Fahim Yasin Twaha,Q6482735,Lamu West,,NARC KENYA
Q6944629,Mwalimu Masudi Mwahima,Q6547331,Likoni,Q1640905,ODM
Q16730244,Amason Kingi Jeffah,Q6729713,Magarini,Q1640905,ODM
Q5559628,Maitha Gideon Mung'aro,Q6743727,Malindi,Q1640905,ODM
Q5101863,Chirau Ali Mwakwere,Q6791957,Matuga,Q2559675,PNU
Q7089757,Omar Mbwana Zonga,Q6930119,Msambweni,Q1640905,ODM
Q12053090,Najib Balala,Q6944580,Mvita,Q1640905,ODM
Q5021394,Calist Andrew Mwatela,Q6944699,Mwatate,Q1640905,ODM
Q16885582,Naomi Namisi Shaban,Q7689082,Taveta,Q1422517,KANU
Q5221099,Danson Mwazo Mwakulegwa,Q7939444,Voi,Q1640905,ODM
Q7791963,Thomas Ludindi Mwadeghu,Q8039242,Wundanyi,Q1640905,ODM
Q743818,David Kimutai Too,Q4697387,Ainamoi,Q1640905,ODM
Q7405193,Sally Kosgey,Q4713420,Aldai,Q1640905,ODM
Q7409808,Sammy Mwaita,Q4860772,Baringo Central,Q1640905,ODM
Q4807410,Kamama Asman Abongutum,Q4860775,Baringo East,Q2559675,PNU
Q8014046,William Kipkorir,Q4860776,Baringo North,Q1640905,ODM
Q5076212,Charles Cheruiyot Keter,Q4882701,Belgut,Q1640905,ODM
Q6414629,Kipkalya Kones,Q4940856,Bomet,Q1640905,ODM
Q5491306,Franklin Bett,Q4998466,Bureti,Q1640905,ODM
Q6077048,Isaac Ruto,Q5091695,Chepalungu,Q1640905,ODM
Q6289987,Joshua Kutuny,Q5091828,Cherangani,Q1640905,ODM
Q16731419,Moses Lessonet,Q5353892,Eldama Ravine,Q1640905,ODM
Q6759579,Kamar Margret Jepkoech,Q5354125,Eldoret East,Q1640905,ODM
Q195725,William Ruto,Q5354127,Eldoret North,Q1640905,ODM
Q7168746,Peris Chepchumba,Q5354128,Eldoret South,Q1640905,ODM
Q346046,Elijah Lagat,Q17085425,Emgwen,Q1640905,ODM
Q16734594,Samuel Poghisio,Q6344643,Kacheliba,Q5251223,ODM K
Q6285933,Joseph Ole Nkaissery,Q6348981,Kajiado Central,Q1640905,ODM
Q733817,George Saitoti,Q6348987,Kajiado North,Q2559675,PNU
Q6309975,Julius Mugor,Q13640987,Kapenguria,Q1640905,ODM
Q6696106,Chepkitony Lucas Kipkosei,Q6385295,Keiyo North,Q1640905,ODM
Q6117200,Kiptanui Kiplagat Jackson,Q17088491,Keiyo South,Q1640905,ODM
Q6414697,Kiprono Langat,Q6414632,Kipkelion,Q1640905,ODM
Q6309902,Julius Kipyegon Kones,Q6429614,Konoin,Q1640905,ODM
Q8065041,Zakayo Cheroiyot,Q6445895,Kuresoi,Q1640905,ODM
Q7045471,Noah Wakesa,Q6450207,Kwanza,Q2559675,PNU
Q6944671,Kiunjuri Festus Mwangi,Q6473833,Laikipia East,Q2559675,PNU
Q6983763,Muriithi Ndiritu,Q6473834,Laikipia West,Q2559675,PNU
Q6377793,Katoo Ole Metito,Q6348985,Loitoktok,,NARC KENYA
Q6550225,Linah Kilimo,Q6754698,Marakwet East,,KENDA
Q4931560,Kaino Boaz Kipchuma,Q6754691,Marakwet West,Q1640905,ODM
"",Hellen Sambili,Q6890697,Mogotio,,UDM
Q16730905,Joseph Nganga Kiuna,Q6896735,Molo,Q2559675,PNU
Q5236093,David Koech,Q6916414,Mosop,Q1640905,ODM
Q16733078,John Michael Njenga Mututho,Q6959832,Naivasha,Q1422517,KANU
Q6514327,Lee Maiyani Kinyanjui,Q13651786,Nakuru Town,Q2559675,PNU
Q8016331,William Ronkorua Ntimama,Q6966106,Narok North,Q1640905,ODM
Q7042591,Nkoidilla Lankas,Q6966109,Narok South,Q1640905,ODM
Q6701602,Kigen Luka Kipkorir,Q7365616,Rongai,Q1640905,ODM
Q5407838,Eugene Ludovic Wamalwa,Q7396314,Saboti,Q2559675,PNU
Q7293983,Raphael Lentimalo,Q7409117,Samburu East,Q1640905,ODM
Q7519199,Simon Lesirma,Q7409120,Samburu West,Q1640905,ODM
Q8023122,Wilson Litole,Q7513096,Sigor,Q1640905,ODM
Q6681363,Lorna Laboso,Q7563993,Sotik,Q1640905,ODM
Q6990527,Nelson Gaichuhie,Q7632288,Subukia,Q2559675,PNU
Q5724462,Henry Kiprono Kosgey,Q7808048,Tinderet,Q1640905,ODM
Q5233438,David Ethuro,Q17099533,Turkana Central,Q2559675,PNU
Q6249843,John Munyes,Q7855019,Turkana North,Q2559675,PNU
Q6288277,Josephat Koli Nanok,Q7855020,Turkana South,Q1640905,ODM
Q4682154,Aden Bare Duale,Q17085899,Dujis,Q1640905,ODM
Q4682177,Aden Ahamed Sugow,Q5429344,Fafi,Q1422517,KANU
Q1030776,Mohamed Yussuf Haji,Q5995093,Ijara,Q1422517,KANU
Q5434731,Farah Maalim,Q11034978,Lagdera,Q1640905,ODM
Q4664971,Abdikadir Hussein Mohamed,Q6747983,Mandera Central,,SAFINA
Q6891252,Mohamed Hussein Ali,Q6747984,Mandera East,Q1640905,ODM
Q6891343,Maalim Mahmud Mohamed,Q6747986,Mandera West,Q1640905,ODM
Q6891260,Mohamed Ibrahim Elmi,Q7960716,Wajir East,Q1640905,ODM
Q4664992,Abdirahman Ali Hassan,Q7960719,Wajir South,Q1422517,KANU
Q4680594,Adan Keynan Wehiye,Q7960720,Wajir West,Q1422517,KANU
